key,enValue,enValid,frValue,frValid
chapters.title,Chapters,1,Chapitres,1
chapters.return,Return to top,1,Retournez en haut,1
chapters.menu,Toggle menu,1,Menu bascule,0
chapters.menu.dropdown,Toggle dropdown menu,1,Basculer le menu déroulant,0
chapters.untitled,Untitled Slide,1,Diapositive sans titre,0
intro.scrollToStory,Scroll to story,1,Aller à l'histoire,0
layer.loading,The layer is loading...,1,La couche est en cours de téléchargement...,1
scrollguard.desc,Use ctrl + scroll to zoom the map,1,Utilisez les touches Ctrl et + pour faire un zoom de la carte,1
story.date,Date modified:,1,Date de modification:,1
story.error,An error occurred while loading this Storylines product. See developer console for more information.,1,Une erreur est survenue pendant le chargement ce synopsis produit. Voir la console du promoteur pour obtenir de plus amples renseignements.,1
image.fullscreen,Full Screen,1,Plein Écran,1
timeslider.expand,Expand,1,Développer,1
timeslider.minimize,Minimize,1,Réduire,1
timeslider.play,Play,1,Lire,0
timeslider.pause,Pause,1,Pause,0
fullscreen.activate,Enter Fullscreen,1,Entrer en plein écran,0
fullscreen.deactivate,Exit Fullscreen,1,Sortie plein écran,0
dynamic.back,Back,1,Retour,0
video.transcript,Transcript,1,Transcription,0
chart.viewFullscreen,View in full screen,1,Plein Écran,1
chart.printChart,Print chart,1,Imprimer,1
chart.downloadPNG,Download PNG,1,Télécharger PNG,1
chart.downloadJPEG,Download JPEG,1,Télécharger JPEG,1
chart.downloadPDF,Download PDF,1,Télécharger PDF,1
chart.downloadSVG,Download SVG,1,Télécharger SVG,1
chart.downloadCSV,Download CSV,1,Télécharger CSV,1
chart.downloadXLS,Download XLS,1,Télécharger XLS,1
chart.viewData,View data table,1,Afficher le tableau de données,1
month.jan,January,1,Janvier,1
month.feb,February,1,Février,1
month.mar,March,1,Mars,1
month.apr,April,1,Avril,1
month.may,May,1,Mai,1
month.jun,June,1,Juin,1
month.jul,July,1,Juillet,1
month.aug,August,1,Août,1
month.sep,September,1,Septembre,1
month.oct,October,1,Octobre,1
month.nov,November,1,Novembre,1
month.dec,December,1,Décembre,1